epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,65.6583,1.27413,0.79272,1.9054,0.99418,1,0.995,0.77074,0.93263,0.56266,1.71452,0.0008318,0.0008318,0.0008318
61,66.639,1.27948,0.796,1.87006,0.99408,1,0.995,0.76243,0.94324,0.61134,1.79254,0.000812,0.000812,0.000812
62,67.6363,1.23688,0.81303,1.8444,0.98934,1,0.995,0.83231,0.80054,0.68524,1.66733,0.0007922,0.0007922,0.0007922
63,68.6466,1.2193,0.73936,1.7963,0.99461,1,0.995,0.85203,0.85417,0.59032,1.64115,0.0007724,0.0007724,0.0007724
64,69.6565,1.27363,0.78394,1.85523,0.9891,1,0.995,0.75506,0.87164,0.61397,1.6361,0.0007526,0.0007526,0.0007526
65,70.7158,1.30245,0.78481,1.86949,0.99363,1,0.995,0.78833,0.92675,0.63212,1.64755,0.0007328,0.0007328,0.0007328
66,71.7132,1.25745,0.76206,1.85832,0.99461,1,0.995,0.79908,0.92919,0.58523,1.66911,0.000713,0.000713,0.000713
67,72.7037,1.29753,0.75354,1.90035,0.99524,1,0.995,0.80559,0.92882,0.55575,1.61617,0.0006932,0.0006932,0.0006932
68,73.7162,1.22712,0.78151,1.81129,0.99448,1,0.995,0.79237,0.96112,0.60596,1.69718,0.0006734,0.0006734,0.0006734
69,74.6776,1.23257,0.74104,1.79946,0.99463,1,0.995,0.78989,0.94594,0.57418,1.66985,0.0006536,0.0006536,0.0006536
70,75.7539,1.25887,0.73223,1.80114,0.99529,1,0.995,0.77494,1.01381,0.59501,1.68947,0.0006338,0.0006338,0.0006338
71,76.7463,1.27001,0.74473,1.82092,0.99418,1,0.995,0.78469,0.9167,0.54942,1.63164,0.000614,0.000614,0.000614
72,77.7424,1.21421,0.73935,1.77008,0.99335,1,0.995,0.74315,0.90402,0.60073,1.59688,0.0005942,0.0005942,0.0005942
73,78.7412,1.16615,0.71199,1.74091,0.99426,1,0.995,0.79853,0.99195,0.54517,1.69307,0.0005744,0.0005744,0.0005744
74,79.8122,1.14646,0.70981,1.73124,0.99445,1,0.995,0.76211,0.91581,0.52125,1.64654,0.0005546,0.0005546,0.0005546
75,80.8092,1.18182,0.69948,1.79653,0.99513,1,0.995,0.73071,0.94459,0.54651,1.69375,0.0005348,0.0005348,0.0005348
76,81.8046,1.16951,0.68679,1.7397,0.99004,1,0.995,0.75808,0.93591,0.72227,1.63099,0.000515,0.000515,0.000515
77,82.7906,1.20849,0.72807,1.79068,0.98724,1,0.995,0.6816,1.06096,0.67906,1.72347,0.0004952,0.0004952,0.0004952
78,83.8941,1.19436,0.74371,1.78747,0.9933,1,0.995,0.77877,0.90277,0.59552,1.5822,0.0004754,0.0004754,0.0004754
79,84.9349,1.14588,0.68199,1.69447,0.99427,1,0.995,0.78412,0.88215,0.52504,1.59572,0.0004556,0.0004556,0.0004556
80,85.9752,1.14164,0.68313,1.71382,0.99483,1,0.995,0.73546,0.95923,0.56154,1.63189,0.0004358,0.0004358,0.0004358
81,86.9912,1.13016,0.68059,1.71089,0.99499,1,0.995,0.77523,0.87267,0.52259,1.55072,0.000416,0.000416,0.000416
82,88.0344,1.17956,0.71135,1.76229,0.99489,1,0.995,0.77694,0.90912,0.53625,1.57373,0.0003962,0.0003962,0.0003962
