epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
163,169.752,1.0494,0.53889,1.58138,0.99515,1,0.995,0.75233,0.99246,0.44893,1.53134,0.0003962,0.0003962,0.0003962
164,170.756,0.98823,0.53472,1.54686,0.99499,1,0.995,0.7941,0.86934,0.39891,1.38231,0.0003863,0.0003863,0.0003863
165,171.841,0.96435,0.51392,1.52408,0.99512,1,0.995,0.81891,0.84996,0.42634,1.37482,0.0003764,0.0003764,0.0003764
166,172.845,0.9831,0.54158,1.50051,0.99497,1,0.995,0.78668,0.8913,0.44213,1.43552,0.0003665,0.0003665,0.0003665
167,173.856,0.97307,0.53199,1.51512,0.99491,1,0.995,0.82207,0.83137,0.39161,1.36579,0.0003566,0.0003566,0.0003566
168,174.863,0.96282,0.53618,1.53076,0.99498,1,0.995,0.81552,0.82603,0.38188,1.34921,0.0003467,0.0003467,0.0003467
169,175.842,0.97104,0.52017,1.50573,0.99501,1,0.995,0.83433,0.81077,0.38925,1.36045,0.0003368,0.0003368,0.0003368
170,176.928,0.9384,0.51168,1.46372,0.99501,1,0.995,0.83143,0.83361,0.38219,1.36201,0.0003269,0.0003269,0.0003269
171,177.944,0.99622,0.51479,1.53911,0.99508,1,0.995,0.81165,0.83639,0.391,1.33111,0.000317,0.000317,0.000317
172,178.986,0.9163,0.48148,1.46394,0.99492,1,0.995,0.80303,0.88414,0.42248,1.39115,0.0003071,0.0003071,0.0003071
173,180.001,1.00171,0.51974,1.55689,0.99497,1,0.995,0.79226,0.88429,0.41035,1.40725,0.0002972,0.0002972,0.0002972
174,181.049,1.00035,0.54103,1.52907,0.99506,1,0.995,0.77283,0.89755,0.39491,1.3781,0.0002873,0.0002873,0.0002873
175,182.233,0.92513,0.48934,1.46395,0.99506,1,0.995,0.78128,0.90127,0.40382,1.3814,0.0002774,0.0002774,0.0002774
176,183.316,0.89708,0.49808,1.4433,0.99506,1,0.995,0.80588,0.82852,0.36821,1.36289,0.0002675,0.0002675,0.0002675
177,184.352,0.94561,0.50541,1.51963,0.99499,1,0.995,0.8094,0.8183,0.35946,1.35902,0.0002576,0.0002576,0.0002576
178,185.398,0.95066,0.49474,1.49017,0.99503,1,0.995,0.81262,0.85263,0.37981,1.35807,0.0002477,0.0002477,0.0002477
179,186.599,0.9382,0.497,1.4574,0.99506,1,0.995,0.80169,0.89706,0.39971,1.42527,0.0002378,0.0002378,0.0002378
180,187.655,0.93273,0.50179,1.49846,0.9951,1,0.995,0.78123,0.94653,0.40259,1.49922,0.0002279,0.0002279,0.0002279
181,188.665,0.94755,0.49506,1.46062,0.99489,1,0.995,0.82328,0.89427,0.39141,1.42467,0.000218,0.000218,0.000218
182,189.686,0.88827,0.48678,1.41974,0.99506,1,0.995,0.8067,0.83938,0.38402,1.33918,0.0002081,0.0002081,0.0002081
183,190.822,1.00752,0.54078,1.51669,0.99507,1,0.995,0.82138,0.83145,0.37305,1.33043,0.0001982,0.0001982,0.0001982
184,191.85,0.85611,0.46256,1.44834,0.99509,1,0.995,0.81105,0.86097,0.37242,1.39276,0.0001883,0.0001883,0.0001883
185,192.88,0.93224,0.48944,1.44613,0.99507,1,0.995,0.81043,0.87783,0.37205,1.41921,0.0001784,0.0001784,0.0001784
186,193.933,0.92733,0.48077,1.45841,0.99499,1,0.995,0.81088,0.85065,0.38229,1.3932,0.0001685,0.0001685,0.0001685
187,194.974,0.93745,0.49126,1.4522,0.99497,1,0.995,0.80682,0.83058,0.34884,1.37461,0.0001586,0.0001586,0.0001586
188,196.14,0.88707,0.47631,1.43147,0.995,1,0.995,0.82732,0.82452,0.34267,1.36258,0.0001487,0.0001487,0.0001487
189,197.167,0.88399,0.45572,1.4103,0.99506,1,0.995,0.82288,0.82866,0.36062,1.36818,0.0001388,0.0001388,0.0001388
190,198.222,0.90249,0.49519,1.46135,0.99504,1,0.995,0.81785,0.8453,0.3614,1.36393,0.0001289,0.0001289,0.0001289
191,200.525,0.7906,0.44516,1.42875,0.99496,1,0.995,0.81753,0.83923,0.37022,1.35477,0.000119,0.000119,0.000119
192,201.755,0.82809,0.45058,1.4697,0.99483,1,0.995,0.80263,0.83914,0.37048,1.35507,0.0001091,0.0001091,0.0001091
193,202.795,0.82496,0.44146,1.45851,0.99473,1,0.995,0.81615,0.83119,0.37157,1.34914,9.92e-05,9.92e-05,9.92e-05
